document-label,document-text
leavenworth-area-climbs,"TR:  Leavenworth cragging
Elain and I went cragging at Leavenworth on Saturday, with a friend (Bruce).  It was the first time Elain and I had gone cragging at Leavenworth."
mount-baker,"Coleman Glacier Ice Playground - Nov. 1
It was a smashing (yes) success! \
\
A large, shivering crowd met at the Burke parking lot at 6:30am on Saturday, bleary-eyed from Halloween partying but full of enthusiasm. More people showed up than the organizers had anticipated, which was great - the club is sweet stuff this year! Unfortunately we lost a few folks soon afterwards."
index,"Ralph and Dan's badass day at Index
This trip consisted mostly of eating a really big breakfast at the Varsity Inn (on 35th) yesterday. I think Ralph got the blueberry pancake combo, and I had a spinach and cheese omelette."
mount-baker,"TR:  Baker Ice
Short version:  Elain and I only had one day to climb last weekend, so we went to Mount Baker to look for ice\
\
Long version, with pictures:\
\
<!-- m --><a class=\""postlink\"" href=\""http://www.speakeasy."
mount-rainier,"Road to Paradise:  WI1
Short version:  Elain and I hunted for ice in Mt. Rainier National Park over the weekend."
index,"aiding Thin Fingers at Index
Ania and I went to Index on Sunday to practice aiding.  \
\
I aided up the first (approach) pitch, as I was feeling lazy and not warmed up in the morning."
mount-rainier,"Camp Muir (Dec 18)
Ooh, it sure was nice. Norbert, Daniel, and I took advantage of a window of beautiful weather to ski up to Muir yesterday."
mount-baker,"Baker via the Easton 6/27-28
A hardy contingency of UWCCer's and friends headed up to Baker for a summit attempt via the Easton Glacier route.  This was a first glacier climb/summit attempt for several people."
mount-rainier,"Worst trip ever!!
We had big plans to ski up and around van Trump park on Rainier on Saturday. Carol, Josh, Ralph and I left early Saturday morning and promptly got lost on the drive."
mount-rainier,"Skiing almost to Muir
A month ago I wouldn't think I'd be saying this."
index,"Index!  4-4-04
Chris and I got an almost-alpine start, rolling out of the house after 9:30 and heading straight for Zoka's for provisions.  Then more munchies (and gas) at Arco."
snow-creek-wall,"snow creek fun - 4/3
For those interested, the snow creek wall is nice and dry already, and the trail is almost entirely free of snow. Ben Lockard and I wandered our way up outer space on Saturday, a beautiful day indeed."
mount-rainier,"Rainier via Gib Ledges 4/9-4/10: it's a party!
Summary:\
\
My partner Andy Lewis and I summited Rainier Saturday morning via the Gibraltar Ledges.  The route was in decent shape, the weather was fantastic, the descent was interesting, and the social scene at Muir was the most fun I have ever had up there."
index,"Index! 4-11-04
Ian and I climbed up Rattletail in three 30m pitches.  Yes, this is the same climb that resulted in a helicopter rescue last weekend."
leavenworth-area-climbs,"Exit 38 / Westport / Leavenworth
The weather this past weekend was so good that it would have been a crime not to have been out climbing.  I managed to stay at school until noon on Friday, but then I had to bail and go climbing."
mount-rainier,"Rainier via Gib Ledges 4/10-4/11: And Everyone's Invited
Fellow Mounties Jerry and Bruce and I attempted the Gibraltar Ledges route on Rainier, but had to turn around at 13,880 when our pace got dangerously slow, ~ 300 ft. per hour."
snow-creek-wall,"Orbit (alpine cragging?)
Sunday, April 18, 2004\
\
Paul had never been trad climbing nor done multi-pitch.  I'd never been on Snow Creek wall."
snow-creek-wall,"Outer Space/Mary Jane Dihedral/Canary, 4/18
Eric Gratz and I went to Leavenworth to do a two-route linkup on Snow Creek Wall.  We almost did it and climbed some fun pitches along the way."
leavenworth-area-climbs,"How to wreck your hands in three easy steps!  L11 4/24-25
This past weekend the Rude Americans descended upon Leavenworth for a multisport outing.  Ryan, Marcie, Ben, Tracy and I learned how to mangle our hands, and you can, too, by following these three easy steps:\
\
1."
index,"Double your pleasure:  Index AND X38 4/30, 5/1
The heat wave kept Ryan and I away from the snowy climbs and in the valleys this weekend.  Friday we went to Index and met quite a crowd there."
snow-creek-wall,"Godzilla, and Snow Creek Wall twice
Sat May 3\
On our way to Leavenworth, Ian and I stopped at Index and climbed Godzilla.\
Sun May 2\
Sunday, we climbed Outer Space, followed by Mary Jane (the variation on Orbit)."
index,"Breakfast of Breakfast of Champions
Short version:  Ania and I went to Index and climbed Roger's Corner, and Breakfast of Champions, which ate me for lunch, er uh ."
leavenworth-area-climbs,"Leavenworth: Rain, beer and minigolf
Roanne and I went to Leavenworth on Sunday morning for some climbing.  I have never bouldered there, so I wanted to take part in the bouldering tour by one of the guidebook authors that was taking place Sunday morning as part of the \""rockfest\"" event."
mount-baker,"Mt. Baker, Coleman-Deming Daytrip Plabness
This one is [url=http&#58;//www&#46;students&#46;washington&#46;edu/pbelitz/Baker_5_23_04/Baker_5_23_04&#46;html:abjozq9x]Stebbi's[/url:abjozq9x] fault, I'm not obsessed with Baker. Really."
index,"Rainy Day Aiding 5/30
The rain started coming down hard just after Monroe, but I didn't have a partner to tell excuses to, so I kept driving.  The Lower Town Wall parking lot was empty when I got there sometime before 11am."
mount-rainier,"Rainier 5/29-5/30
Failed on Rainier for the third time this year last weekend.  0 for 6 now overall, What was I thinking?\
\
This report is for my Dad, the suffer machine."
leavenworth-area-climbs,"Leavenworth
Went east to dry land on Saturday with Foraker from CC.com."
leavenworth-area-climbs,"I'm a 21 year old digital boy....
I don't know how to drink but I got a lot of time.\
\
Scott and I planned a post finals climbing trip here is the breakdown\
\
thursday- 10:30 swich destinations from squamish to leavenworth due to weather."
mount-stuart,"TR:  Mount Stuart via Ice Cliff Glacier route
Short version:  Elain and I climbed Mount Stuart via the Ice Cliff Glacier route over June 11-13.  It was fun."
mount-rainier,"TR: Mount Rainier - Emmons Glacier 6/17/2004
Went out to Camp Sherman Wednesday with Jim. Made good time from the parking lot to camp in 5 hours."
mount-rainier,"TR: Mount Rainier via Kautz Glacier, 6/17-6/19
Dustin Shigeno, Kira Misura, Jeff Crowe, Gary Yngve, and I spent 3 days on Mount Rainier and summited on Saturday via the Kautz Glacier route.\
\
We drove down to Paradise Thursday morning, arriving there at 9."
leavenworth-area-climbs,"Learning about crack in Leavenworth
This past Saturday Matt DePies and I headed to Leavenworth to practise some trad leading.  Both of us are pretty new to it so we decided to stick to easier climbs."
mount-baker,"TR:  Mount Baker attempt via North Ridge
Short version:  Over June 26-27, Elain and I attempted to climb Mount Baker via the North Ridge.  We got a little more than we bargained for."
mount-baker,"Mt. Baker, Coleman-Deming, July 10-11
Dan and I climbed the Coleman-Deming route on Mt. Baker this past weekend with my employer Dave and our friend Sherlock."
mount-stuart,"Stuarts complete north ridge
Fourth of July weekend sees Josh and I hiking in with idea of bivying at the base and climbing the route in a single push the next day.  For some unkown reason we start up a spur just to the west of the ridge."
snow-creek-wall,"Outerspace
Foraker from CC.com and I climbed Outerspace out at Leavenworth Sunday, it was good times."
mount-baker,"TR: Mount Baker - Easton Glacier 7/27
Jessie and I climbed Mount Baker via the Easton Glacier route in under a half day. The appraoch was straightforward."
mount-rainier,"Rainier 8/14-15:  escapade on Emmons
[b:1fgjh4dj]Short version[/b:1fgjh4dj]\
\
Went up Rainier this past weekend with five friends.  The climb was excellent, the route was in great shape, and nobody died."
mount-rainier,"One day short: An attempt on the Kautz Glacier
The illustrious ex-UWCC-bulletin-board poster Ron Sorrell and I went with some east coast friends to climb Rainier by the Kautz Glacier route.  We got rainiered on the first night at high camp and I had to go home summitless."
index,"I used to be stronger...
but now I'm better?!\
\
On Saturday Ralph and I went to climb at Index, but it was wet, so we kept going to Leavenworth. We didn't have the guidebook, so had to resort to Castle Rock, and had a great time despite my having been there about 8 times before."
mount-stuart,"Mt. Stuart - West Ridge
We need some more trip reports around here, so."
leavenworth-area-climbs,"Condorphamine Addiction
I think this counts as cragging."
mount-rainier,"Flett Glacier Ski
I figured at least one person on this board would be interested in this  <!-- s:wink: --><img src=\""{SMILIES_PATH}/icon_wink.gif\"" alt=\"":wink:\"" title=\""Wink\"" /><!-- s:wink: --> \
\
<!-- m --><a class=\""postlink\"" href=\""http://www."
leavenworth-area-climbs,"Pearly Gates, Oct. 2
For those lost souls who are wondering how they will pass through the Pearly Gates: fear not!  Take comfort in the knowledge that there is a no-hands rest after the crux.\
\
Dan P and I got in a half-day of climbing at Pearly Gates in Leavenworth this past weekend."
mount-rainier,"Camp Muir Hike
No one else seem excited about doing a TR so I thought I'd give it a shot.

Last Saturday, Jackie, Mason, Amit tai, his friend Martin, a Chicagoan Genie and I hiked up to Camp Mir."
leavenworth-area-climbs,"Playground Point and BeBop Rock
Sunday the weather looked good in Leavenworth, so G and I headed to Icicle Creek for some climbing.  We first headed to Playground Point and quickly found the climbs."
mount-stuart,"Stuart - West Ridge
Eric and I had a great time climbing the West Ridge of Stuart yesterday.  We left the Ingalls/Esmerelda trailhead at about 8am, and made the approach partly on foot and partly with snowshoes."
mount-rainier,"Paradise - Muir conditions on Rainier
Amanda and I skiied up to Camp Muir on Sat (Nov 20).  There are a couple of feet of snow on the ground, little enough to read the signs telling you where you are, but definitely enough to skin and ski on."
mount-rainier,"Cheating death on Rainier:  a brief guide
Following some empirical research on the volcano this weekend, I have compiled a short instruction manual on how to avoid calamity.  By following these steps, you, too, can have a humbling experience."
index,"Index
Jesse, Ben, and Baldwin were going to drive from Seattle in Jesse's car and pick me up in Redmond at my parents' house at 9:30a on the way to Index.  However, by the time they got to my parents' house at almost 10 they were in Baldwin's two seater truck with his two dogs in back."
mount-rainier,"Skiing on Rainier
Andy, Rok and i left town early on Sunday to head up to Mt Rainier for some skiing/riding. The weather was impeccable though the wind got pretty strong up on the Muir snowfield."
mount-stuart,"Mt. Stuart - Ice Cliff Glacier
I got a hold of cfire from cascade climbers and we decided to head east to get the best of the weather thursday and friday.  Ben Long called me looking to get away from the exciting farm life out in Omak and he said he was up to some ice climbing so he met us at the trailhead thursday morning."
snow-creek-wall,"Outerspace
Josh Whorley and I decided to do the uber-Washington classic, since he hadn't done it yet and i'm finally working up my trad-lead courage.  we got to the base of the wall in time to see eric finish pitch 1 and talk with scott."
index,"Index upper town wall action.
Baldwin and I went to index.  We started out climbing Davis/Holland Lovin Arms."
snow-creek-wall,"Outerspace
Jason K and I climbed Outerspace here,\
\
[img:2wi1k3p8]http&#58;//www&#46;students&#46;washington&#46;edu/zman2208/outerspace1&#46;jpg[/img:2wi1k3p8]\
\
on Saturday.  These guys,\
\
[img:2wi1k3p8]http&#58;//www&#46;students&#46;washington&#46;edu/zman2208/outerspace3&#46;jpg[/img:2wi1k3p8]\
\
kept a careful watch on our packs while we went and did this:\
\
[img:2wi1k3p8]http&#58;//www&#46;students&#46;washington&#46;edu/zman2208/outerspace13&#46;jpg[/img:2wi1k3p8]."
leavenworth-area-climbs,"May Cragging in Leavenworth
Dan \""grades are meaningless\"" Perrakis and I climbed some stuff in Leavenworth this past weekend.   Day 1: Skipping bolts and having fun."
mount-baker,"Mt. Baker good to go
We went up the Squock to Sherman Peak (sub-summit of Baker, 10,000' or so) on Thursday.  Baker is prime for ski touring now."
mount-stuart,"Cascadian Couloir 5.21.05
Jesse and I climbed Mt. Stuart this weekend:\
\
We began the approach wet."
leavenworth-area-climbs,"Leavenworth Bouldering_2
Leon and I headed back to Leavenworth this Sunday. The weather was perfect: sunny, cool, and dry."
mount-rainier,"Rainier - Ingraham Direct
Erik Howard & I climbed the ID. Left Paradise @ 2pm sat 28th."
snow-creek-wall,"snowcreek wall &quot;orbit&quot;
The weather this weekend was looking fairly nice so me and Neri decided to do a little climbing, we had first planned to do the Improbable traverse on Guye peak but decided that it was to wet, so instead we made our way to Lworth to climb Orbit. \
\
We left Seattle at 4am after 3 hours of sleep ugh! When we arrived in Lworth the weather was nice sunny and cool!!!  To our suprise there was only two other groups of climbers, and they were doing Outer Space, we jumped on Orbit relishing solitude and peace."
mount-stuart,"Cascadian Conditioner 6/25
Well it wasnt a picnic, literally <!-- s:lol: --><img src=\""{SMILIES_PATH}/icon_lol.gif\"" alt=\"":lol:\"" title=\""Laughing\"" /><!-- s:lol: --> that TR was a riot."
mount-stuart,"Mount Stuart
Jim and I kept the teamwork flowing for the second weekend in a row when we drove out to the Esmeralda Basin Trailhead Friday night for a one-day climb of the West Ridge.  This was a fun climb with a lot of scrambling on broken rock."
mount-rainier,"Rainier - Kautz Glacier
Stephen, Tim, and I had a perfect trip up Rainier. Our first day was spent in the fog until about 330pm, which kept us cool on the approach."
mount-baker,"&quot;Did you summit?&quot; (Coleman Headwall attempt)
I prefer my mountain adventures to have relative solitude.  Such was not the case on our hike in, with dozens of hikers and climbers on the trail, and huge camps on the moraine and by the Buttes."
mount-baker,"A baker of a weekend
Justin Evans, myself, and two friends of mine went up to Baker last sunday.  \
The weather was superbly sunny both days."
mount-baker,"Mount Baker - Easton Glacier route
Tim and I climbed Easton Glacier route on this past Saturday.  Slept at the trailhead - left the car at 4:30am."
mount-rainier,"TR: Rainier - Kautz 8/6-7/05
Ben and I climbed the Kautz glacier on rainier this weekend, starting from paradise, carrying over and descending the DC.  This was a great trip; our paces matched well, our packs were not too heavy, our bivy was sunny and warm, there were only two other parties on the route (neither of which we ever saw during the day) and the route was challenging enough to be fun but not scary."
mount-rainier,"Mt Rainier, Kautz Glacier, 8/13-14
Ben Kunz and I climbed that big mountain next to the Paradise Visitor Center and Parking Lot this weekend.  Except for the circling helicopters, current and former UWCC types, and the ten thousand other people we met between the summit and Paradise, we had the place to ourselves."
mount-rainier,"Kautz Glacier route 8/9 - 8/11
Well, seems this is the popular route of the season, and I understand why.  It was very satisfying for Matt and I, and I had fun on my first technical alpine ice."
mount-baker,"Some observations on guiding (Baker 8/12-8/14/05)
While teaching a NOLS mountaineering course in the Winds this summer, I was inspired by a fellow instructor to venture into the realm of guiding.  It seemed like a good idea- better pay than NOLS, more flexible schedule, shorter trips, glamor, romance, prestige, and all that great stuff."
index,"More Index
Went this morning with Jesse H from cc.com."
snow-creek-wall,"outerspace
This saturday I did it with Eric Babson and while fun, I didn't think it should be worthy of classic status.  If there were no chicken heads I would have found it way more fun."
mount-stuart,"W Ridge of Stuart 9.6.05
Jesse and I climbed the West Ridge of Stuart yesterday to give me food for thought while I’m in hilly, bonny Scotland for the next four months.\
\
We woke up in the trailhead parking lot at 4:30am."
index,"Index: All Dewy-Like
Ben Kunz and I went to Index on Sunday, starting off the day around 1pm at the Inner Walls.  It was a little damp in the shade there, but we both led Corner Flash to warm up and did the optional offwidth section again on TR (practice for Backbone Ridge)."
mount-rainier,"labor day mt. rainier trip
I brought my friend up the DC over labor day weekend; I assumed it would be packed but it turned out to be just a few climbers outside of the RMI crew, so Muir was actually pretty uncrowded."
mount-rainier,"Skiing on Rainier
I skinned up to Camp Muir on Saturday Oct.29 from Paradise with some friends."
mount-rainier,"Skiing on the big R
Sunday a full tele posse went to ski up to camp Muir. It was sunny and beautiful, and the snow was decent enough for slushy fun by the afternoon."
mount-rainier,"Camp Muir!
Saturday afternoon my sister, Katie, and I headed down to Tacoma to meet some friends, enjoy good food, a few rounds of pool, and discuss our upcoming trip up Emmons Glacier the end of July.  After a solid night's sleep, six of us hit the road at 6 and were at Paradise around 8:15."
leavenworth-area-climbs,"Survivor-style challenge games in Leavenworth
Paul, Kyle, Amanda and I left Seattle just before traffic started up Thursday morning to get to all this \""cool bouldering\"" that they have in Leavenworth. We had no idea that we would be spending a solid 20 minutes leapfrogging pieces of logs to get across an enormous puddle."
mount-rainier,"Mount Rainier- Fuhrer Finger attempt (bis)
I guess it's about time for me to start writing my first trip report after several outings with clubs members.
So after a previous failed attempt to climb Rainier via the Furher Finger, Ian was looking for a new partner to give it a try again."
index,"index-blah blah
Deju vu. Scott and I where headed to leavenworth but as usual index was dry on saturday."
mount-stuart,"Stuart - Ice Cliff Glacier (5/6/06)
The thought arose on Wednesday with the forecast of deteriorating weather. “Well, I can’t do a two day trip because I’ve got a test on Friday."
mount-stuart,"Stuart Glacier Couloir
Aaron Zabriskie and I hiked in early Saturday past Stuart Lake to check out the Stuart Glacier Couloir.\
\
[img:3bacjsif]http&#58;//www&#46;cs&#46;washington&#46;edu/homes/gyngve/SGC/zstuart&#46;jpg[/img:3bacjsif]\
\
It was quite the slog to the base of the couloir."
mount-rainier,"Liberty Ridge Rainier
---Hard to miss a good weather window, and this one had been on my list for some time. \
       ---I picked up Jelte at Shilshole Marina at 6:00 am in my piece of shit black truck and headed out to Rainier."
leavenworth-area-climbs,"more leavenworth
nick bratton, his lady-friend (jenna) and i went over to leaveworth for some multi-sport fun.  sat morning we piled into nicks car and drove to north bend where we picked up one of his old comany's rafts."
mount-baker,"Mt. Baker - Easton Glacier 6-6-06
My senoritis is reaching it's worst (or best).  Looking at the weather Tuesday looked like the best day to get out."
index,"Index
I went to index with Scott on Sunday.  It was pretty kickass perfect weather."
mount-rainier,"TR - Mount Rainier - Ingraham Direct, 6/24/2006
This TR is also posted on Cascade Climbers:  [url:2jvk4e2n]http&#58;//www&#46;cascadeclimbers&#46;com/threadz/showflat&#46;php/Cat/0/Number/583814/an/0/page/0#583814[/url:2jvk4e2n]\
\
My friend Andrew and I climbed Rainier via Ingraham Direct in just under 12.5 hours roundtrip from Paradise."
mount-baker,"Baker - CD route
This weekend, Artie, Brian, Griff, Jonathan, Matthew, Michele and I climbed Mt. Baker via the Coleman-Deming route."
index,"pushing it at Index
Went to Index yesterday evening with Ruth.\
\
I haven't really pushed myself for leading rock in a while, and I was in the mood last night."
mount-baker,"Baker- Easton Glacier
Went and hiked the Easton this weekend.  Camped at 6600' at a sweet bivy that N Bratton told me about."
mount-rainier,"Rainier - Kautz Glacier - July 1-2, 2006
After making last minute arrangements to climb with Aaron Zabriskie and Justin Evans, the three of us met at U-Village on Saturday mornig to go climb Rainier. The plan was to head towards the Wapowety cleaver and decide based on conditions and energy level between the Fuhrer Finger, Kautz Glacier and Wilson or Kautz headwall."
mount-baker,"Mt. Baker
I feel like its time for me to actually write something for the first time in quite a while, although I'd much rather talk to people in person, so come climbing with me sometime.  \
\
Justin and I met up in Seattle Monday evening and drove to the Heliotrope Ridge trailhead with the intention of climbing the North Ridge to celebrate our Independence."
mount-baker,"Coleman Headwall
[img:2jdlapmi]http&#58;//www&#46;cs&#46;washington&#46;edu/homes/gyngve/ColemanHeadwall/zroute&#46;jpg[/img:2jdlapmi]\
\
Justin Evans and I decided we wanted something a little less burly than a 2-day Logan trip, so we settled on the Coleman Headwall, despite knowing that it would make Aaron jealous (Aaron and I bailed off the Headwall last year, and Justin and Aaron were chased off the North Ridge on July 4th by lightning).\
\
The views were gorgeous on the hike in, and we tried to scope out the route."
mount-rainier,"Hiking up Mt. Rainier (the DC route) 7/8-7/10
Saturday afternoon through Monday we* spent a leisurely two and a half days hiking around Rainier and eventually headed up Disappointment Cleaver.  \
\
Monday morning we woke up to our tents rattling in the gusty winds, but balmy temps outside."
mount-baker,"Baker: Easton
I climbed the Easton Glacier this past weekend with a bunch of cool folks.\
\
Having been on four routes on Baker: C-D, NR, CH, and EG, I have to say that the EG and the NR are best for views (time the NR so the sun rises as you are on it)."
index,"Aid hiking at Index, 7/22
Pictures of aid climbing are more boring than pictures of bouldering, so I didn't take any.  Instead, I will explore the Eric Gratz-style \""images."
mount-stuart,"Mount Stuart - Upper North Ridge
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%205&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2010&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2013&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2017&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2018&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2024&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2031&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2035&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2041&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2045&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2049&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2057&#46;JPG[/img:digyktsh]\
\
The rope got caught in the crack so Gary tied me off, rapped down, and freed it.  \
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2059&#46;JPG[/img:digyktsh]\
\
[img:digyktsh]http&#58;//students&#46;washington&#46;edu/zman2208/stuart6%2063&#46;JPG[/img:digyktsh]\
\
Gary should be bringing the art soon."
mount-stuart,"Stuart Comp. North Ridge w/ gendarme-31(?) pitches of bliss
Since I had no takers on my invitation for Rainier or Stuart, I called up an old friend and asked if he would be up for the quest. We had never been in the area before, on Stuart or knew much of the route, so I figured two days to do the complete North Ridge with gendarme."
index,"Index LTW
Gordy Smith and I went to Index for half a day today. \
\
Did the standard warmup up GNS and then did BoC, RC, and G-M."
snow-creek-wall,"Outer Space
For those thinking of doing Outer Space this summer, watch out for the yellow jacket nest on the second pitch, the 5.8 traverse."
snow-creek-wall,"Snow Creek Wall, White Slabs, 9/18
Betsy and I had a date to go climbing and headed to Leavenworth.  We didn't get quite the early start we hoped for (this would not surprise those who know us <!-- s;) --><img src=\""{SMILIES_PATH}/icon_wink."
index,"Davis-Holland / Loving Arms
Jason and I climbed it on Saturday.  We were hoping for better style (redpoint), but instead we each needed (wimped out) to take some hangs."
index,"Index 9/30
J. Stern, Boyd, Dug, and I climbed some great pitches at Index last Saturday."
leavenworth-area-climbs,"Leavenworth Cragging CC.com Ropeup
Cruised over to LW for the CC ropeup this past weekend.  Had a great time, although UWCC was a bit underrepresented."
index,"Index
Scott and I went to index yesterday and it was predictably awesome.  We started with godzilla through sloe children."
mount-rainier,"Mt. Rainier Fuhrer Finger day- Attempt
Met up with Eli, a frequent TAY poster. We wanted to Fuhrer finger in a day."
snow-creek-wall,"Northern Dihedrals Direct, Snow Creek Wall
The stars somehow aligned, and I managed to dodge work, illness, etc., to get out for a day of climbing on Saturday, which I hadn't really done in what feels like four months."
index,"Index
Some friends (Megan, Bryan) and I headed out to Index on Saturday to enjoy some beautiful weather, break in some new trad gear, and investigate Index's allegedly steep gradings. We climbed 3pitches of Great Northern Slab (5."
