"label","title","text"
,"TR: NFNWR, Adams, ski","<!-- m --><a class=\""postlink\"" href=\""http://www.students.washington.edu/pbelitz/Climbing.html\"">http://www.students.washington.edu/pbel ... mbing.html</a><!-- m -->\
\
Go to 'trips', the link is obvious. The only disadvantage of using frames is that you can't link directly.  <!-- s:x --><img src=\""{SMILIES_PATH}/icon_mad.gif\"" alt=\"":x\"" title=\""Mad\"" /><!-- s:x -->"
,"Divide by 100","I can't believe it\
the way you look sometimes\
like a trampled flag on a city street\
and I don't want it\
the things your offering me\
civilized bar code, quick id\
\
cause I'm a 21st century digital boy\
I don't know how to live but I got a lotta toys\
my daddy's a lazy midle class intellectual,\
my mommy's on valium so ineffectual\
ain't life a mystery\
\
We said Bad Religion 'sold out' 11 years ago because they signed with a 'major label' ... but they didn't start pedaling singles. In August they release yet another album, The Empire Strikes First. ... still going strong since 1980."
"eldorado-peak","TR: Eldorado 6/20/04","My old climbing buddy Nathan from my days in California was in town, and I thought that a trip to either the Pickets or the Eldorado icecap would be the best way to convince him that the Cascades kick the Sierra's ass.  After deciding that 2 1/2 days wouldn't be enough to do justice to the Pickets, we headed up the cascade river road on Friday morning in search of awesome relief and broken ice.  We left the Eldorado parking lot around 11AM and were at the rib above the Eldorado glacier by 3:00.  The talus field was completely snow free, but we found some nice sloppy snow in the upper Eldorado creek drainage.  The original plan was to continue up to the Inspiration glacier, climb Primus and Austera Saturday and Eldorado Sunday on the way out, but we were feeling lazy, and faced with the opportunity for alpenglow on Johannesburg, we decided to set up camp.  We spend about 4 hours staring at Cascade Pass area peaks and Glacier peak (better than must-see TV!), ate some dehydrated \""pasta and meat sauce\"" left over from Nathan's Aconcagua trip last fall and went to bed around 9:30.  Despite our full awareness of the weather pattern and its implication for snow conditions, we slept in until about 8:30 on Saturday morning for a solid 11 hours of sleep (did I mention we were feeling lazy?).  After a quick breakfast, we postholed to our knees up the east ridge of Eldorado, enjoying the phenomenal views of the North Ridge of Forbidden and Moraine lake.  The upper margin of the Inspiration Glacier still seemed pretty stable and we elected not to rope up.  We arrived around 11:15 at the base of the summit ridge, where we waited ~45 minutes for two older gentlemen to belay the knife edge.  Great opportunity for photos and a short session of \""Name-That-Peak\"".  Once they cleared out, we took our turn on the knife edge, which was very sloppy on the south, but seemed firm and sufficiently stable on the north.  I was surprised how short the runout segment of the ridge is.  Because of a combination of laziness and the sloppy postholey snow, we decided to return to camp rather than explore the depths of the ice cap; we arrived back at the camp ridge around 2PM and spent another 7 hours staring at the view.  A few more sunset photos and another night of going to sleep before dark and waking up after dawn and we were ready for the mercifully brief yet bonejarringly steep descent of the Eldo trail to the car.  An Elkburger and milkshake in Marblemount rounded out the trip nicely.\
\
This was my first trip to this area, and I am looking forward to taking another shot at the full Icecap traverse with a little more planning about snow conditions."
"Ptarmigan-traverse","TR:  Ptarmigan Traverse, June 17-20, 2004","w/ Phil Higuera\
               \
In his book \""The Best Ski Touring in America\"" Steve Barnett makes an off-handed comment about \""deep, jungle filled holes\"" when comparing valleys in the Western Cascades to those east of the crest.  The line has become somewhat of a legend amongst our friends, and whenever I have a commanding view of a deep Cascadian valley, especially one without a trail, I can't help but think \""wow, that's some impressive jungle filled hole down there.\""  One of the many virtues of the Ptarmigan Traverse is that it manages to avoid travel in any of these holes, except of course for the exit, mile after never ending mile, but we'll get to that.\
\
Truth be told, this wasn't the first choice for a high route this spring, as I had just walked the traverse for the second time last fall.  The snow pack, weather and our work schedules conspired to make it the only feasible choice however.  The high country along the route is superlative and skiing is always a drastically different experience than walking, so we shouldered our heavy packs and started the trek from the Cascade River Road Thursday morning.  Unfortunately, the car shuttle and shenanigans with the workers starting repair work on the road conspired to push our departure time back to 10 am.  We had hoped to make it to Spider-Formidable col the first night, but with this late start and precious 4 hours of sleep the night before, it was not to be.\
 \
From Cascade Pass we skied a short distance into Pelton Basin and climbed a snow gully to the Cache Glacier instead of making the steep traverse across Mixup Arm.  Above 6500 ft on the glacier we ran into recent snow;  it wasn't too soft on skis, but was fairly rotten, with our poles penetrating several feet.  In the fall, Cache Col is protected by a moat and a hundred feet of steep mud, but in the spring it is nothing more than a gentle snow slope, buried under many feet of snow.  By the time we arrived at the col after 5400 ft of climbing, it was mid-afternoon and the sky was beginning to look fairly ominous.  The weather forecast when we left called for sunny skys on Thursday, but \""I'll be damned if those clouds don't look like rain clouds,\"" I thought.  We skied down below Cool Aid Lake, then climbed past the lake to make a descending traverse over towards Red Ledge.  The ledge itself was mostly snow covered, with a section melted out;  a steep gully bypassed most of the ledge, but it too was partly melted out.  Is that snow rotten?  The entire prospect looked a bit too unsavory for our tastes, so we instead climbed some brush and a snow gully on climbers right to gain the ridge above.  By this time it was approaching early evening, and the clouds overhead were starting to grow worrisome.  Sheets of rain were falling to our south and west, but were re-evaporating in the dry lower atmosphere before hitting the ground.  Occasionally, a few sprinkles would touch down.  We decided to make camp instead of pressing on.  That evening we were treated to a fiery sunset behind Johannesburg, some impressive god rays through the isolated rain squaws and a lightning and thunder display to our south west.  \""Sunny?\""  Hum, something was amiss with the forecast.\
 \
Friday dawned crystal clear, and after enjoying the view of Formidable and Spider over breakfast, we made a descending traverse below the Middle Cascade Glacier.  The talus here was melted out, but we didn't mind as the beaten trail made for easy upward progress.  We skinned up the glacier to the col, then made a long descending traverse to Yang Yang Lakes.  A steep snow gully gave access to the arm below Le Conte.  By this time, dark clouds had again billowed up, and appeared to be raining to our north.  The snow hadn't refrozen over night, was quite rotten and we were concerned about the steep traverse to gain access to the Le Conte Glacier.  A clap of thunder sounded and we paused to weigh our options.  I desperately wanted to make it past the Le Conte Glacier on Friday, both to climb Old Guard which I hadn't previously done on either of my trips, and to give us an opportunity to ski Dome the following day.  It began to snow, and in a moment of weakness perhaps, we decide to stay put.\
\
Saturday morning, after cramponing up Le Conte arm, we made a long descending traverse on softening snow, then roped up at the base of the Le Conte Glacier.  I knew we'd be walking across what later in the season are gaping crevasses, so the rope seemed prudent.  The snow on the lower glacier only superficially re-froze, and was soft and rotten below the thin surface crust.  This surely would would have been very soft the previous afternoon we consoled ourselves.  We arrived at the Sentinel - Le Conte col without incident and took in the view of the South Cascade Glacier.  The entire Ptarmigan is spectacular, but the section from the Le Conte Glacier to the Dana Glacier is perhaps the nicest, and my favorite.  As we arrived at the col above White Rock Lakes, I swear I heard Phil's jaw drop.  All at once, and for the first time in the tour, one can see the entire cirque from the Chickamin Glacier over to Spire Point in one unbroken wall of ice and rock.  The curiously perched Gunsight; the heaving mass of the Chickamin, broken beyond belief, reminiscent of a drying lava flow as it runs into the slabs and rubble above over its long tongue;  Dome and Elephant Head aligned in the center, their twin forms anchoring the scene;  the twin lobes of the Dana Glacier, and finally the improbably sharp Spire Point.  Below snow line, the most impressive jungle filled hole of the trip, Agnes Creek, gracefully arcs out of view.  It is one of the most spectacular views in the Cascades, forever protected by days of work and toil, and a previous generation of thoughtful, hard working politicians and conservationists.\
 \
We made some fine turns down to White Rock Lakes, then traversed below the Dana Glacier and climbed to Spire Col.  The climb was very hot - at one point Phil stopped to roll in the snow - but soon enough we arrived at the col to nice views of Glacier Peak.  We took a break for some food, and I told Phil what I knew about the original Ptarmigans.  We skied down to Itswoot Ridge and made camp in one of the more scenic camps I've seen.  Phil took a run towards Dome, while I contently sat and watched clouds blow past the peaks.\
               \
After packing up on Sunday morning, we skied and hiked out.  We were able to ski down to Cub Lake, then climb to the Bachelor Creek divide on mostly bare trail, before skiing down to the gigantic slide path in Bachelor Creek.  Here we packed the skis for the last time and began the brush battle.  The trail in Bachelor Creek has fallen into disrepair; we cursed the brush and downfall until finally arriving at Downey Creek.  In one particularly annoying alder thicket, Phil wondered out loud what it must have been like for the pioneers.  Did they carry machetes?  I replied simply, \""They were harder in those days.\""  We switched to running shoes for the final hike out Downey Creek, down what must be the longest 6 miles in the entire range.  Most of the trail here is in fine shape, but the riparian zones are overgrown.  As I pushed through a particularly thick section of thorny bushes and devils club high over the tops of my skis, I more than once heard Phil snicker, \""hehe, jungle filled holes.\"","",""0"
"leavenworth-area-climbs","Learning about crack in Leavenworth","This past Saturday Matt DePies and I headed to Leavenworth to practise some trad leading.  Both of us are pretty new to it so we decided to stick to easier climbs.   We climbed a nameless 5.6 hand crack at Barney's Rubble, a 5.4 off-width and a 5.5 hand crack at the Roto Wall, and Gibson's Crack (5.5) on the Mountaineer's Dome.  I personally did not have much experience climbing cracks and so this was a new experience for me.   Gibson's Crack seemed surprisingly hard for 5.5, but that could be because I haven't climbed many cracks and we only had pro to 1.5\"" instead of 3\"" like the guide book said.  Has anyone else climbed this? I'm just curious as to what other people think of this climb.   All in all the day was a lot of fun, but I have a lot to learn about climbing cracks."
"prusik-peak","Prusik Peak W Ridge 6/28-29.","The first lesson in The Mountaineers' Cairn Building Course is \""One rock does not a cairn make.\""\
\
My friend Andy Lewis and I enjoyed some tranquil solitude, magnificent rock, and perfect conditions on a midweek climb of this Alpine Lakes moderate classic.\
\
Monday morning we drove out to Leavenworth, had no trouble picking up permits, and visited our friends at Leavenworth Mountain Sports.  By 2:30 we were on the hot, dusty trail up Snow Creek.  It was toasty, we each drank five liters of water on the approach.  The last thousand feet was marked by the ubiquitous cairn.  There must have been one every twenty feet, and cement steps had been poured on some of the granite slabs.  Just in case you couldn't figure out which way to go.\
\
We camped at Lake Vivian, having arrived in five hours.  It was a beautiful clear night with a gentle breeze to keep the bugs down.  During dinner a few curious ugopies approached, but didn't venture too close.\
\
They were back in the morning, waking us at 5:30.  Perfect timing.  Hiking by 6:30, we took a leisurely route around the west side of the lake and up the north side of Prusik Pass.  The clear, still day was perfect for climbing.  We scrambled up to a ledge, and Andy took the gear, setting off up the ridge.  I took over at the belay, and soon reached the fixed pin on the north side.  I was tempted to keep going and lead the unprotected 5.7 slab, but was glad I didn't, because I would have run out of rope.  The next pitch was quality, the airy moves over the south face were really fun.\
\
On the west side of the summit block I found a shiny new bolt, that was a bit of a surprise.  Up the chimney and we were on the summit.  Gorgeous views.  On the north face descent I found two new stoppers and two biners.  There was a nice looking Tech Friend on the W Ridge that was pretty well sunk.  Andy didn't want to mess around trying to clean it, so if you go up there soon you might have a shot at some good booty.\
\
Our hike back to camp was much quicker, we pulled our packs out of the tree, and cruised down in four hours with a few good laughs along the way:\
\
Andy:  Check out this cairn.  It's like it was done in a cubic style so you can see all sides of it from no matter which angle you look at it.  \
Nick:  You could even call it \""Cairnica.\"" \
\
[img:3qx3ho9w]http&#58;//www&#46;awitness&#46;org/guernica&#46;jpg[/img:3qx3ho9w]\
\
There were parties on Orbit and Outer Space as we hiked by.  Down in the parking lot we were delighted to find my kayak, truck, and contents all intact.  Dinner and beer at Gustav's brought the conclusion to our alpine foray, and we drove back to town."
"Mount-baker","TR:  Mount Baker attempt via North Ridge","Short version:  Over June 26-27, Elain and I attempted to climb Mount Baker via the North Ridge.  We got a little more than we bargained for.  There was an accident during which I broke my leg, and I had to be evacuated by helicopter.\
\
Long version, with pictures: \
\
<!-- m --><a class=\""postlink\"" href=\""http://homepage.mac.com/stephen.ramsey/climbing/triplog/200406-baker\"">http://homepage.mac.com/stephen.ramsey/ ... 0406-baker</a><!-- m -->\
\
\
My heartfelt thanks go out to the Search and Rescue team of Naval Air Station Whidbey, Bellingham Mountain Rescue, Whatom County Search and Rescue, and the many other groups and volunteers who participated in my rescue.  For a complete listing of thank-yous (to the best of my knowledge), please see the trip report."
,"A First Free Ascent!","Well, it seems to be fashionable these days to write trip reports where people end up in the hospital, so here goes:\
\
Bryce and I had been planning this secret project for several months now. Early last week we felt that the conditions were finally turning favorable, so we got our gear ready.  Since we didn't know what to expect on this uncharted route, we erred on the side of carrying too much. During the last day in basecamp, we tried to keep calm and not let on our anxiety to each other. This was going to be big, more difficult and dangerous than anything we'd ever done before, and completing this project would mean the dream of our lifetime coming true.  The best thing to do in such a case is to act as if nothing special was going on. \
We started late Tuesday evening, and the approach took a full 24 hours. We moved steadily with short rests but no break for sleep. It was of the utmost importance to get into a rhythm before we started on the vertical part of the ascent. Then, at midnight on June 30th, we got to the base of the wall. A full moon was calmly lighting the sky, and we took that as a good omen. I quickly led up the first three pitches, but from here the climbing was getting increasingly demanding. We moved methodically upwards, but progress seemed agonizingly slow when we pondered the huge challenge that was still looming overhead. \
\
Here the analogy kind of ends, because if it really was a climb, I would've turned around at that point. But no, my friends, this was childbirth, and you don't get to make that kind of decision. I had thought it would be manageable because I'm so tough and skilled, not to speak of my legendary determination. Not so! Quite preposterous, in fact. It was the most mind-boggling agony, desperation, and moment of truth.  This is what you get for trying the free ascent, but it is so much more rewarding than aid. When it was over, I was overwhelmed with awe and happiness at this new little human. No need for sleep, or sanity. Now, four days later, I'm finally starting to feel normal again. \
\
Maximilian Yoshi Gust-Anderson was born at 7:12am on July 1st (his due date!) at the UW Medical Center. He weighed 7 pounds 10 ounces, measured 20 3/4 inches in length, and is awfully cute. You can call him Max, and he'll be out climbing around as soon as his legs will carry him. For now though, he'll just be content staring at all the odd things this world has to offer, and digesting his milk. \
\
I'll post some pictures as soon as I get around to it, which may be a little while."
,"New routes at Gun Show and Little Si","On Sunday I headed out to the Far Side with Jeremy Bowler from the IMA Climbing Center to check out the recently bolted lines at the Gun Show crag.  We climbed three of the four (?) new routes there, all were enjoyable.  Two of them have second pitches, or can be linked as one long pitch.  The rightmost of these was our favorite.  It started on a steepish face with abundant juggy holds, wove through a little fourth class and over a block to the chains, and the second pitch was a fun moderate face.  The addition of these routes makes that little crag a worthwhile destination beyond the attraction of the 40m slab climb.\
\
Monday I went to Little Si with Ryan, Marcie, and Chris, the first full climbing reunion of our 2002-2003 New Hampshire ice climbing trip.  We found a couple newish routes at the left side of the British Aisles, both of which were fun.  The left one was about 5.8, the right one was low 5.10.  After some flogging on steep and thin elevens at Greenland we decided we were sufficiently tired and bailed."
"Mount-redoubt","TR: Mount Redoubt - Redoubt Glacier, July 3-5","[i:1kjpezxs]A long story without pictures because I don't have a digital camera, but I will scan some photos and post them in a few days. [/i:1kjpezxs]\
\
Seven of us packed into two vehicles left the Seattle area around 6 am. We drove up the Depot Creek as far as we could (about 1 mile). It turns out the crux of the road was just above where we parked. Had we continued, the road improved for over a mile before a major washout that is impassable. Fortunately, the weather here was dry and we knew the forecast was calling for an improving trend through Monday. \
\
We saddled our packs and hiked up the road for a mile and a half and then the abandoned logging road for another two miles to the border. After the border, the climbers path runs along Depot Creek meandering up and down in old growth forest for about 3 miles. \
Three miles in from the border, the way begins to ascend to the base of the falls. The “unforgettable” falls with the 8 foot rock step at the base is definitely something I will remember. The wet, slippery rock and mist shooting off the falls definitely makes the move interesting. At the top of the headwall, in which 1,000 feet is gained in a very short distance, the way becomes flat and we say our first view of Redoubt. \
\
After walking through the meadows we ascended the final 1,000 vertical through talus to Ouzel Lake. We camped out at Ouzel Lake the first night. The sky cleared just after sunset, but we found ourselves socked in the following morning. Dampened a bit by the weather, we slept in till 10 am at which point the clouds began to break up. Three members of the group decided to go for Spickard and the rest, including me, went for Redoubt. \
\
Ascending the rock ledges to the foot of the Redoubt Glacier was fun and the right side of the glacier was benign making for a quick trip to the 7,800 foot col just under Redoubt’s massive flying buttress which is almost vertical and even overhanging in some parts. The glacial plateau of the Redoubt Glacier is an amazing setting with Twin peaks, Redoubt, and Spickard across the valley. By this point, the weather had cleared to where we could see the Pickets and other points south. At the col, we decided to wait to climb Redoubt via the south route till Monday morning because we knew the weather was improving and made camp in a small snow bowl sheltered by the rocks. The north face of Bear was especially cool to look at. Just after the sun set, the clouds lowered into the valleys providing us with excellent views. \
\
The night was clear and cold with nearly a full moon providing ample light. The sunrise in the morning was unforgettalbe as all the clouds had disappeared except for a little low valley fog. We began the ascent up the south cirque of Redoubt soon after sunrise stopping to take pictures of the Pickets in the soft morning light. The route up to the summit was fairly straight forward. The gully system was slightly chossy and the final rock section involved some fourth class moves. We made the summit at 9am and chilled until about 10 am reveling at the panorama from the Pickets to Slesse to garibaldi and other points in the BC coast range. After rapping off the summit and down climbing the gully, we found that the snow in the cirque had softened making for great plunge stepping and glissading all the way back to camp.  \
\
We made it back to camp at about 12:30 and packed it up. We cruised down the glacier and took the shortcut down to Depot Creek. The crossing of Depot Creek gave me a rush, especially because I had no poles to give me balance. By the time we made it down to the base of the unforgettable falls, we were all tired. The final 6.5 miles out were definitely forgettable, but renewed energy after the border crossing allowed us to finish the hike out quickly arriving at the car exhausted at 9:15 pm. Pizza in Chilliwack at midnight and back home at 3 am. \
\
The Redoubt/Spickard area is an amazing, wild place. The morning view of the Pickets is the best I have seen in the cascades. All of our cameras got a good workout on this trip! The company on the trip was fun. Thanks for the good times! I will definitely return to the Redoubt/Spickard area in the future and I look forward to getting a close-up view of the Pickets soon."
"Mount-baker","Mt. Baker, Coleman-Deming, July 10-11","Dan and I climbed the Coleman-Deming route on Mt. Baker this past weekend with my employer Dave and our friend Sherlock.  We opted for a later start on Sunday (5.30am on the boot track) and avoided not only crowds on the route but also the freezing rainshower reported by earlier parties on the summit.  The sky was blue above 9400' when we topped out, but my camera had run out of juice the previous day, so the only decent photo I have is of the tent city at 7000'  <!-- s:shock: --><img src=\""{SMILIES_PATH}/icon_eek.gif\"" alt=\"":shock:\"" title=\""Shocked\"" /><!-- s:shock: -->\
\
 [img:3cp3v66f]http&#58;//bodenner&#46;net/~rkb/climb/images/baker-july-10-11-2004/camp1&#46;m&#46;jpg[/img:3cp3v66f]\
\
Dave wrote a [url=http&#58;//www&#46;rudderpost&#46;com/pellerin/baker2004/Baker2004&#46;htm:3cp3v66f]TR with some more photos[/url:3cp3v66f] on his website.\
\
This trip set several personal milestones for me:\
[list:3cp3v66f]first time climbing Baker
first game of alpine bocce
my mountain boots are finally broken in![/list:u:3cp3v66f]\
It was a great time and I didn't lose the provider of my paycheck in a crevasse!"
"Mount-stuart","Stuarts complete north ridge","Fourth of July weekend sees Josh and I hiking in with idea of bivying at the base and climbing the route in a single push the next day.  For some unkown reason we start up a spur just to the west of the ridge.  After some don't tell your mom about this climbing IE a 15 ft fall 40ft off the belay with only a single nut in which was described as \""in a flaring pod held in by a single crystal\"" on to a half rope used as a single we bail.  Back at camp we realize our mistake but it is nine before find the start of the route and we both know that we can't climb the longest rock route in the state? in terms of vert gained 3000ft with remander of the day.\
\
Fast forward to friday neither Dave or I likes the west side forecast.  I remind him there is a route which I already now the approach to and so we get in our cars and start driving.  Park my truck at ingalls trailhead and drive to mtn creek.  Car Camp.    \
\
Saturday 7am sees dave and I starting to hike.  For the usually reason I'm to scarced and chicken to commit we decided to bivy on route.  We enter the offtrail section of the approach as we work on my new line of jokes \""Your Wife Jokes\""\
\""Your wife is so ugly her gynecologist is my dogs vet\""\
\""Your wife has so much facial hair when you to go out for dinner they call you Mrs.\""\
\""your wife is so ugly she made her brides maides wear moomoos so she could be the prettest one at your wedding\""\
\""your wife is so ugly her ex bf is a gorilla\""....\
I'm so getting my ass kicked one of these days\
\
11am sees us starting the first pitch, the slot reminds me alot of the first pitch of orbit were the idea is to face climb and use chimney tecnhique for assistantce, I clip my pack to my daisy chain.  We then belay a short 30ft traverseing pitch as per new beckey not Daves older Beckey, which is the route description we have. This bypasses a sweet looking crack which Kearney specifically says not to do as it is hard, discontinous and the cause of several injuries.  What follows is a pitch right up their with the Gerdamine pitches.  two thin cracks and face climbing just left of the route then a short traverse over leads to on route stemming an awesome pitch.  We belay two more unnotable 5.7 pitches before Dave leads us on two simul pitches which deposit us at the notch.  \
5pm.  the notch bivy is to good to pass up.  Espically since it has been cloudy and winding all day and the weather appears to be getting worse.  6:30 sees us in our bags and it snowing.  Dave has a lightweight down bag/bivy sac/pad combo while I have a warmer synethic bag/flaked rope combo but no bivy sac just an emergency space blanket over the lower half and a marmot precip over the upper.  It keeps me dry but any movement will knock the rocks holding the space blanket in place off.  At one point I ask Dave to put a rock back on since I cannot move Dave tosses a striaght up nut shot.  It did the trick but I paid the price, Its was long night.\
\
Sunday. 6:30am wake to clear skys YEAH.  take our time melting snow for water, drink some hot chocolate, I fucking love hot chocolate, will the sun to warm us up and melt the rime that formed over night.\
8:30 Dave leads us out on the first of three simul pitches that put us at the base of the Gerdarme. At some point Dave loses his inflatable pad and tells me he has it for 15 years with out popping.  This make me wonder how old Dave really is but has the added effect of making me realize he is the most experienced partner i have. Lunch at the Gerdarme base wait for the remanding rime to fall off.  The Gerdarme pitches are a lot of fun.  We ended up doing it in three pitches as I got bit scarced face climbing on wet lichen after the fist crack and felt a regroup was in order.  Used 3.5 and 4 forged friends work perfectly much better than lugging a costalot up their. After the Gerdarme we belayed 4 pitches to the summit should have just simuled has Nelsons short 5.9 wall felt like a 5.7 hand crack.  Summit at 3:30.  Starting heading down at 4 Dave wants to chill but I want to avoid the stuart descent bivy that seems to plague som many people.  Then the trundle down the cascadian to beer and peanut butter crackers at my truck WORD&gt;\
\
Thoughts on the route.  Upper half is defentaly better.  All in all I thought the route has perhaps a little over hyped.  Still fun but no south face of prussik.  There are only two good pitches on the lower half but it was nice to have done the complete.  Should have stuck to the orginal plan which was to bivy at the base then bust it in a day and descend the sherpa.  Though Dave liked it the way we did it as you never travel over the same terrain twice as he said think about it we started at st lake trailhead and know we are all the over in esmeralda.  Doing it a day is feasible we spent 13hours climbing and definatly could have gone faster had we been hurrying.  I can't believe Paul did this with his Dad thats Awesome.  Dave is a solid partner to have in the mountains having now done one ice and one rock route together."
"snow-creek-wall","Outerspace","Foraker from CC.com and I climbed Outerspace out at Leavenworth Sunday, it was good times.\
\
We left the trailhead after driving in that morning about 9:30 and got on the first pitch following another party about 11:00.  Foraker was bringing his 2-liter Platypus dromedary and I had a liter of water on me as we were about to start, which would be plenty, but as he was taking one last sip he bit the mouth-piece off of the tube and dropped the bag, almost completely emptying it's contents.  We were committed though and went on up in the 80 degree sunshine with only one liter between us.  \
\
The first few pitches up and on two-tree ledge were fast and easy, but things slowed down at the airy traverse above the ledge.  I led out from above the traverse where I got lost in a sea of chickenheads, watched a pika show me the path of least resistance to the base of the upper headwall crack, and stretched our 50m rope to it's limit getting there.  The first pitch of the crack was pretty sweet but continually turned to off-hands for my huge paws.  We drank the last of the water at Library Ledge, and there was no sign of the planted reading material, leaving the belayer quite bored, but we were smelling victory so we had no misgivings.  Started to lead up the second pitch of the crack when Foraker said to me that some goats and a guy had been wandering around the base of the climb near our packs for some time now, but he assured me that our packs were well out of view on a small ledge.  I looked down about fifteen seconds later to see the guy at the base has found our stuff and was walking off with it so we start shouting at him, but he and our stuff is out of sight in seconds.  In my frustration I drop a .5 camalot straight off the wall, this doesn't make me feel any better,  and we climb fast to the top craving water and hoping our stuff isn't gone.\
\
Finished the climb and had a relatively easy but tedious time walking off the backside.  What do you know our packs are at the base of the wall and we get to them just as a determined goat and her kid are inspecting them.  The unknown pack-grabber apparently just moved our stuff away from the goats and closer to the walk-off, hearty thanks to him.  The goats left to go chew on some packs hanging in a nearby tree, and after some fruitless searching for a green cam, we made our way down to Snow Creek where I spent several minutes trying to rehydrate myself.  I fought leg cramps the rest of the way down anwyay, and cursed the failure of Foraker's platypus.  I myself, lost about a liter of water when the mouthpiece of my Platypus fell down a crevasse last summer on the Boston Glacier, which similarly resulted in leg cramps later on; might I recommend against getting that particular brand.   This was a great climb which I will be sure to go back and do mistake-free in the future."
"liberty-bell-mountain","TR: Liberty Bell via Southwest Face (Beckey Route)","Yesterday I climbed the Beckey route up Liberty Bell with a small Mountaineers party of four.  Since this was a weekday we thought that we would get away with showing up late in the day without encountering too many people.  And indeed, we only met two parties of two during the whole day.\
\
We left Seattle at 5.30am and arrived at the Blue Lake trailhead at Washington Pass around 8.30am.  The weather was great, the mosquitos weren't.  Unfortunately, I had forgotten my half-gallon bottle of bug repellent and became a victim wich was unpleasant.  We hiked up to the notch between Liberty Bell and Concord Tower (everything is melted out by now).  Roped up and started on the route at 11:30am.  Pleasant climbing, 4 pitches, the second and third pitches are 5.6, the other two are easier.  Made the summit two hours later, took our time to eat and enjoy the views, rapelled, and began the descend down the gully.  There is a reason why the gully is sometimes called the \""bowling alley\"":  It's practically impossible to not kick down rocks.  At some point, I inadvertently launched a toaster-sized rock that nearly hit two party members.  I don't even want to imagine what it is like on a sunny weekend when the place turns in what Beckey calls in his book a \""social mecca\""...  Anyway, nobody got hurt and we arrived at the car at 5:30am after a day of great climbing with a group of great people."
"The-tooth","Camping on the Tooth","I had a very pleasant trip camping atop the Tooth.  Except for the mosquitoes.  And because this was supposed to be a mellow, easy, low-planning trip, in my 10 minutes of packing I neglected to pack DEET, long pants, nor long sleeve shirt.  Oops.\
\
[url:3ghw6zsy]http&#58;//www&#46;cs&#46;washington&#46;edu/homes/ania/Tooth[/url:3ghw6zsy]\
\
In the morning, I saw a party of 3 women heading up there.  They had just climbed Ingalls on Saturday.  Pretty cool -- and rare -- to see an all-female party rock climbing."
